Series Name;Series Code;Country Name;Country Code;2017;2018;2019;2020;2021
GDP (current US$);NY.GDP.MKTP.CD;Guinea-Bissau;GNB;13.501.771.275.523;150.463.012.099.275;143.963.844.338.133;143.175.824.290.375;163.851.753.316.504
GDP (current US$);NY.GDP.MKTP.CD;Guyana;GUY;474.817.433.414.044;478.763.623.724.043;517.376.019.184.652;547.125.659.472.422;740.917.992.086.331
GDP (current US$);NY.GDP.MKTP.CD;Haiti;HTI;150.355.603.726.443;164.550.343.527.671;147.858.393.829.002;145.082.180.174.032;209.443.926.150.803
GDP (current US$);NY.GDP.MKTP.CD;Honduras;HND;231.362.322.296.069;24.067.778.953.842;250.899.769.467.736;238.278.408.097.014;284.886.683.016.401
GDP (current US$);NY.GDP.MKTP.CD;Hong Kong SAR, China;HKG;341.273.289.534.466;361.731.070.995.726;363.052.489.184.395;344.881.400.505.337;368.139.247.671.487
GDP (current US$);NY.GDP.MKTP.CD;Hungary;HUN;143.136.245.596.988;160.586.833.778.457;163526491433.29;156.743.134.665.959;182.280.517.581.212
GDP (current US$);NY.GDP.MKTP.CD;Iceland;ISL;247.282.851.774.603;262.670.637.575.495;248.577.404.450.401;217.180.757.252.054;254.589.339.158.742
GDP (current US$);NY.GDP.MKTP.CD;India;IND;2651472946374.91;2702929718960.46;2831552222519.99;2667687951796.56;3173397590816.91
GDP (current US$);NY.GDP.MKTP.CD;Indonesia;IDN;1015618742565.81;1042271531011.99;1119099868265.25;1058688935454.78;1186092991320.04
GDP (current US$);NY.GDP.MKTP.CD;Iran, Islamic Rep.;IRN;486.630.146.443.617;330.991.589.888.991;291.362.916.336.415;231.547.571.240.469;..
GDP (current US$);NY.GDP.MKTP.CD;Iraq;IRQ;187.217.660.050.676;227.367.469.034.031;233.636.097.800.338;184.369.797.315.436;207.889.333.724.138
GDP (current US$);NY.GDP.MKTP.CD;Ireland;IRL;335.430.829.594.026;385.041.711.506.234;399.122.063.504.148;425.888.950.992.003;498.559.576.714.721
GDP (current US$);NY.GDP.MKTP.CD;Isle of Man;IMN;697.958.172.458.172;749.196.931.287.525;731.538.805.208.067;..;..
GDP (current US$);NY.GDP.MKTP.CD;Israel;ISR;355.277.223.507.485;373.641.241.440.789;397934596952.56;407.100.736.594.064;481.591.266.133.409
GDP (current US$);NY.GDP.MKTP.CD;Italy;ITA;1961796197354.36;2091932426266.98;2011285742552.15;1892574064222.11;2099880198258.88
GDP (current US$);NY.GDP.MKTP.CD;Jamaica;JAM;148.089.899.933.185;157.307.938.527.913;158.307.685.498.916;138.124.250.365.864;13.638.230.995.679
GDP (current US$);NY.GDP.MKTP.CD;Japan;JPN;4930837369151.42;5037835383110.97;5123318151510.62;5040107754084.11;4937421880461.55
GDP (current US$);NY.GDP.MKTP.CD;Jordan;JOR;414.089.608.450.704;429.321.126.760.563;44.502.895.915.493;436.976.592.957.747;45.243.661.971.831
